GO ID	GO term	Organism	Proteome File
GO:0000049	tRNA binding	A. thaliana	UP000006548_3702
GO:0000138	Golgi trans cisterna	A. thaliana	UP000006548_3702
GO:0000139	Golgi membrane	A. thaliana	UP000006548_3702
GO:0000145	exocyst	A. thaliana	UP000006548_3702
GO:0000146	microfilament motor activity	A. thaliana	UP000006548_3702
GO:0000148	1,3-beta-D-glucan synthase complex	A. thaliana	UP000006548_3702
GO:0000155	phosphorelay sensor kinase activity	A. thaliana	UP000006548_3702
GO:0000287	magnesium ion binding	A. thaliana	UP000006548_3702
GO:0000293	ferric-chelate reductase activity	A. thaliana	UP000006548_3702
GO:0000325	plant-type vacuole	A. thaliana	UP000006548_3702
GO:0000373	Group II intron splicing	A. thaliana	UP000006548_3702
GO:0000724	double-strand break repair via homologous recombination	A. thaliana	UP000006548_3702
GO:0000785	chromatin	A. thaliana	UP000006548_3702
GO:0000822	inositol hexakisphosphate binding	A. thaliana	UP000006548_3702
GO:0000911	cytokinesis by cell plate formation	A. thaliana	UP000006548_3702
GO:0001653	peptide receptor activity	A. thaliana	UP000006548_3702
GO:0001676	long-chain fatty acid metabolic process	A. thaliana	UP000006548_3702
GO:0002229	defense response to oomycetes	A. thaliana	UP000006548_3702
GO:0003677	DNA binding	A. thaliana	UP000006548_3702
GO:0003678	DNA helicase activity	A. thaliana	UP000006548_3702
GO:0003682	chromatin binding	A. thaliana	UP000006548_3702
GO:0003684	damaged DNA binding	A. thaliana	UP000006548_3702
GO:0003690	double-stranded DNA binding	A. thaliana	UP000006548_3702
GO:0003723	RNA binding	A. thaliana	UP000006548_3702
GO:0003724	RNA helicase activity	A. thaliana	UP000006548_3702
GO:0003774	cytoskeletal motor activity	A. thaliana	UP000006548_3702
GO:0003777	microtubule motor activity	A. thaliana	UP000006548_3702
GO:0003779	actin binding	A. thaliana	UP000006548_3702
GO:0003825	alpha,alpha-trehalose-phosphate synthase (UDP-forming) activity	A. thaliana	UP000006548_3702
GO:0003843	1,3-beta-D-glucan synthase activity	A. thaliana	UP000006548_3702
GO:0003886	DNA (cytosine-5-)-methyltransferase activity	A. thaliana	UP000006548_3702
GO:0003887	DNA-directed DNA polymerase activity	A. thaliana	UP000006548_3702
GO:0003953	NAD+ nucleosidase activity	A. thaliana	UP000006548_3702
GO:0004190	aspartic-type endopeptidase activity	A. thaliana	UP000006548_3702
GO:0004222	metalloendopeptidase activity	A. thaliana	UP000006548_3702
GO:0004252	serine-type endopeptidase activity	A. thaliana	UP000006548_3702
GO:0004386	helicase activity	A. thaliana	UP000006548_3702
GO:0004497	monooxygenase activity	A. thaliana	UP000006548_3702
GO:0004565	beta-galactosidase activity	A. thaliana	UP000006548_3702
GO:0004630	phospholipase D activity	A. thaliana	UP000006548_3702
GO:0004672	protein kinase activity	A. thaliana	UP000006548_3702
GO:0004674	protein serine/threonine kinase activity	A. thaliana	UP000006548_3702
GO:0004675	transmembrane receptor protein serine/threonine kinase activity	A. thaliana	UP000006548_3702
GO:0004683	calmodulin-dependent protein kinase activity	A. thaliana	UP000006548_3702
GO:0004693	cyclin-dependent protein serine/threonine kinase activity	A. thaliana	UP000006548_3702
GO:0004712	protein serine/threonine/tyrosine kinase activity	A. thaliana	UP000006548_3702
GO:0004714	transmembrane receptor protein tyrosine kinase activity	A. thaliana	UP000006548_3702
GO:0004843	thiol-dependent deubiquitinase	A. thaliana	UP000006548_3702
GO:0005085	guanyl-nucleotide exchange factor activity	A. thaliana	UP000006548_3702
GO:0005096	GTPase activator activity	A. thaliana	UP000006548_3702
GO:0005199	structural constituent of cell wall	A. thaliana	UP000006548_3702
GO:0005227	calcium activated cation channel activity	A. thaliana	UP000006548_3702
GO:0005249	voltage-gated potassium channel activity	A. thaliana	UP000006548_3702
GO:0005262	calcium channel activity	A. thaliana	UP000006548_3702
GO:0005388	P-type calcium transporter activity	A. thaliana	UP000006548_3702
GO:0005506	iron ion binding	A. thaliana	UP000006548_3702
GO:0005515	protein binding	A. thaliana	UP000006548_3702
GO:0005516	calmodulin binding	A. thaliana	UP000006548_3702
GO:0005524	ATP binding	A. thaliana	UP000006548_3702
GO:0005634	nucleus	A. thaliana	UP000006548_3702
